CompanyName,CompanyAlias,CompanyEntityId,Termination_Probability,Risk_Level,Actual_Status
The Fischetti Barry Family Wealth Planning Group,0,559359,0.84240186,Very High,Active
The Fischetti Barry Family Wealth Planning Group,0,559359,0.84240186,Very High,Active
The Jaskol Group,0,467670,0.80121773,Very High,Active
The CHP Group,0,393293,0.80121773,Very High,Active
"Sovran Advisors, LLC",0,380030,0.80121773,Very High,Active
"Sovran Advisors, LLC",0,380030,0.80121773,Very High,Active
Vista Partners of Baird,0,272844,0.80121773,Very High,Active
Evolve Advisor Group,0,164987,0.80121773,Very High,Active
Old Dominion Investment & Retirement Advisors,0,255253,0.80121773,Very High,Active
RPAG Admin,0,182534,0.80121773,Very High,Active
Financial Integrators,0,421445,0.80121773,Very High,Active
Evolve Advisor Group,0,164987,0.80121773,Very High,Active
Ironwood Retirement Plan Consultants,0,105471,0.80121773,Very High,Active
The CHP Group,0,393293,0.80121773,Very High,Active
The Jaskol Group,0,467670,0.80121773,Very High,Active
Northwestern Mutual,0,204926,0.80121773,Very High,Active
Northwestern Mutual,0,221056,0.80121773,Very High,Active
Vista Partners of Baird,0,272844,0.80121773,Very High,Active
Morgan Planning Group,0,348579,0.80121773,Very High,Active
Ironwood Retirement Plan Consultants,0,105471,0.80121773,Very High,Active
RPAG Admin,0,182534,0.80121773,Very High,Active
Northwestern Mutual,0,221056,0.80121773,Very High,Active
"Ravo Financial Strategies, LLC",0,114806,0.7432343,Very High,Active
Post Game Financial,0,381464,0.7432343,Very High,Active
"Ravo Financial Strategies, LLC",0,114806,0.7432343,Very High,Active
Commonwealth 401k Advisory,0,378933,0.7432343,Very High,Active
Integrated Wealth Solutions,0,102376,0.7432343,Very High,Active
Barnum Financial Group- Bryan Rosen,0,380366,0.7432343,Very High,Active
"Glenn Planning Group, Inc.",0,380280,0.7432343,Very High,Active
First Financial Group,0,582411,0.7432343,Very High,Active
Sentinel Solutions,0,113428,0.7432343,Very High,Outstanding
Silicon Valley Financial Group,0,761255,0.7432343,Very High,Active
Baystate Financial- Rico Piatelli,0,470726,0.7432343,Very High,Active
Ahrens Financial Group,0,334895,0.7432343,Very High,Active
Integrated Wealth Solutions,0,102376,0.7432343,Very High,Active
First Financial Group,0,582411,0.7432343,Very High,Active
First Financial Group,0,582411,0.7432343,Very High,Active
"Glenn Planning Group, Inc.",0,380280,0.7432343,Very High,Active
On Generations Financial,0,398167,0.7432343,Very High,Outstanding
"Glenn Planning Group, Inc.",0,380280,0.7432343,Very High,Active
Palmetto Financial Group,0,379110,0.7432343,Very High,Active
Post Game Financial,0,381464,0.7432343,Very High,Active
Triumph Wealth Management LLC,0,378963,0.7432343,Very High,Active
Lloyd - O'Sullivan Wealth Management,Commonwealth Financial Group,742743,0.7432343,Very High,Active
Regal Financial,0,569864,0.7432343,Very High,Active
Sentinel Solutions,0,113428,0.7432343,Very High,Outstanding
Silicon Valley Financial Group,0,761255,0.7432343,Very High,Active
"Harris Financial Group, Inc.",0,379190,0.7432343,Very High,Active
Haycox Financial Group,0,134284,0.7432343,Very High,Active
Haycox Financial Group,0,134284,0.7432343,Very High,Active
Commonwealth 401k Advisory,0,378933,0.7432343,Very High,Active
Entrepreneur Solutions Financial and Insurance Services,0,388467,0.7432343,Very High,Active
Fifth Avenue Financial,0,377226,0.7432343,Very High,Active
"Capstone Partners Financial & Insurance Services, LLC",0,571472,0.7432343,Very High,Active
"Capstone Partners Financial and Insurance Services, LLC",0,436377,0.7432343,Very High,Active
"Harris Financial Group, Inc.",0,379190,0.7432343,Very High,Active
Coastal Financial,0,380130,0.7432343,Very High,Active
Coastal Wealth,0,653988,0.7432343,Very High,Active
Alpha Partners Financial Group,0,746278,0.7432343,Very High,Outstanding
Alpha Partners Financial Group,0,746278,0.7432343,Very High,Outstanding
Barnum Financial Group,0,378947,0.7432343,Very High,Active
Barnum Financial Group- Bryan Rosen,0,380366,0.7432343,Very High,Active
Barnum Financial Group- Bryan Rosen,0,380366,0.7432343,Very High,Active
Baystate Financial- Rico Piatelli,0,470726,0.7432343,Very High,Active
Ahrens Financial Group,0,334895,0.7432343,Very High,Active
Baystate Financial- Rico Piatelli,0,470726,0.7432343,Very High,Active
TRG Retirement Plan Consultants,0,103409,0.73994166,Very High,Active
TRG Retirement Plan Consultants,0,103409,0.73994166,Very High,Active
"Lindberg & Ripple, Inc.",0,128813,0.73994166,Very High,Active
Leatherback Investments,0,539147,0.73994166,Very High,Active
Sandra Gehler,0,390591,0.73994166,Very High,Active
"Lindberg & Ripple, Inc.",0,128813,0.73994166,Very High,Active
Redwood Private Wealth,0,559970,0.73994166,Very High,Active
DS Investment Advisors,0,433463,0.73994166,Very High,Active
Wellspring Financial Partners,0,107501,0.73994166,Very High,Active
Langan Financial Group,0,669117,0.7206683,Very High,Active
"MSH Capital Advisors, LLC",0,615825,0.7206683,Very High,Active
ABC Insurance Trust,0,628107,0.7206683,Very High,Active
Excel Securities & Assoc.,0,239449,0.7206683,Very High,Active
FCG Investment Company,0,104734,0.7206683,Very High,Active
Deschutes Investment Consulting LLC,0,119990,0.7206683,Very High,Active
Black Oak Investment Management Company,0,592533,0.7206683,Very High,Active
"CAH Advisors, LLC",0,502919,0.7206683,Very High,Active
EmVision Capital Advisors,0,195663,0.7206683,Very High,Active
"Fiduciary Advisors, LLC",0,157792,0.68560374,High,Active
Houghton Financial Partners,0,236435,0.68560374,High,Active
Old Port Advisors,0,549754,0.68560374,High,Active
AssetMark Retirement Services,0,341601,0.68560374,High,Active
Keystone Benefits Group,0,105679,0.68560374,High,Active
"Point Sur Advisors, LLC",0,386141,0.68560374,High,Active
United Bank Wealth Management,0,627257,0.68560374,High,Active
JKR and Co.,0,627136,0.68560374,High,Active
Prime Capital Retirement,0,185918,0.68560374,High,Active
Cormac Benefits Group,0,129831,0.68560374,High,Outstanding
Arkin | Youngentob – A Division of Risk Strategies,0,103748,0.68560374,High,Active
"Retirement Consulting Group, Inc.",0,203837,0.68560374,High,Active
"GFS Wealth Management Advisors, Inc.",0,105083,0.68560374,High,Active
Bridgeport Financial,0,434249,0.68560374,High,Active
BlueChip Wealth Advisors,0,638576,0.68560374,High,Active
"Financial Integrity Resource Management, LLC",0,291887,0.68560374,High,Active
Arkin | Youngentob – A Division of Risk Strategies,0,103748,0.68560374,High,Active
"Redfield Financial Group, LLC",0,205420,0.68560374,High,Active
Houghton Financial Partners,0,236435,0.68560374,High,Active
Prime Capital Retirement,0,185918,0.68560374,High,Active
Seven Springs Wealth Group,0,116402,0.68560374,High,Active
Houghton Financial Partners,0,236435,0.68560374,High,Active
AGW Capital Advisors,0,101580,0.68560374,High,Active
Monarch Plan Advisors,0,171697,0.68560374,High,Active
"Waymaker Wealth Advisors, LLP",0,411019,0.59581405,High,Active
Strategic Financial Solutions,0,110328,0.59581405,High,Active
"The Financial Resource Center, Inc.",0,129910,0.59581405,High,Active
The CHP Group,0,393293,0.59581405,High,Active
Accelerate Investment Advisors LLC - Mike Shearon,SJE Retirement,746832,0.59581405,High,Active
"Kolinsky Wealth Management, LLC.",0,113195,0.59581405,High,Active
KPP Advisory Services,0,704580,0.59581405,High,Active
KPP Advisory Services,0,704580,0.59581405,High,Active
The George Group,0,390852,0.59581405,High,Active
The Hodge Williams Group (aka The HWH Group),0,390636,0.59581405,High,Active
The Miranda Thomas Group,0,277386,0.59581405,High,Active
The Miranda Thomas Group,0,277386,0.59581405,High,Active
The Pension Professionals,0,115154,0.59581405,High,Active
"Redfield Financial Group, LLC",0,205420,0.59581405,High,Active
RCM Wealth Advisors,0,450344,0.59581405,High,Active
Watermark Wealth Strategies,0,435191,0.59581405,High,Active
Victory Capital Management,Technology Partner,761236,0.59581405,High,Active
Retirement Advocates,0,391598,0.59581405,High,Active
Watermark Wealth Strategies,0,435191,0.59581405,High,Active
Watermark Wealth Strategies,0,435191,0.59581405,High,Active
The CHP Group,0,393293,0.59581405,High,Active
"The BlackOak Group, LLC",0,160196,0.59581405,High,Active
"The BlackOak Group, LLC",0,160196,0.59581405,High,Active
12 point Custom Scoring Sample,0,638297,0.59581405,High,Active
TAG Advisors,0,261819,0.59581405,High,Active
SWBC Investment Services,0,258982,0.59581405,High,Active
"Sundance Investments, LLC",0,227387,0.59581405,High,Active
Home Federal Bank of Tennessee,0,730078,0.59581405,High,Active
"HHM Wealth Advisors, LLC ",0,213990,0.59581405,High,Active
"HHM Wealth Advisors, LLC ",0,213990,0.59581405,High,Active
Inflection Financial,0,742737,0.59581405,High,Active
"Mack Financial Group, Inc.",0,648498,0.59581405,High,Active
Strategic Retirement Partners,Strategic Retirement Partners,237598,0.59581405,High,Active
"WP Financial, LLC",0,642309,0.59581405,High,Active
The Smith & Colangelo Group,0,404722,0.59581405,High,Active
The Smith & Colangelo Group,0,404722,0.59581405,High,Active
ARGI Investment Services,0,103009,0.59581405,High,Active
Second Line Capital,0,613755,0.59581405,High,Active
Seven Springs Wealth Group,0,116402,0.59581405,High,Active
"GFS Wealth Management Advisors, Inc.",0,105083,0.59581405,High,Active
Morris & Garritano Insurance,0,131112,0.59581405,High,Active
"GFS Wealth Management Advisors, Inc.",0,105083,0.59581405,High,Active
"Mosaic Capital Group, LLC",0,342525,0.59581405,High,Active
Morris & Garritano Insurance,0,131112,0.59581405,High,Active
Seventy2 Capital Wealth Management,0,396099,0.59581405,High,Active
Seventy2 Capital Wealth Management,0,396099,0.59581405,High,Active
KPP Advisory Services,0,704580,0.59581405,High,Active
Leading Edge Wealth Advisors,0,397796,0.59581405,High,Active
American Century Investments,Technology Partner,769589,0.59581405,High,Active
"Sittner & Nelson, LLC",0,375456,0.59581405,High,Active
"Sittner & Nelson, LLC",0,375456,0.59581405,High,Active
Ameritas Investment Company,0,721255,0.59581405,High,Active
Strategic Retirement Partners,Strategic Retirement Partners,237598,0.59581405,High,Active
MCM,0,121927,0.59581405,High,Active
"Moneco Advisors, LLC.",0,109571,0.59581405,High,Active
AGW Capital Advisors,0,101580,0.59581405,High,Active
Advisor Resource Council,0,415809,0.59581405,High,Active
"Acumen Wealth Advisors, LLC",0,221407,0.59581405,High,Active
Heartland Financial Resource Group,0,653182,0.59581405,High,Active
MCM,0,121927,0.59581405,High,Active
Strategic Financial Solutions,0,110328,0.59581405,High,Active
Specialized Retirement Consultants,0,552435,0.59581405,High,Active
Pension Professionals,0,111509,0.59581405,High,Active
Pendleton Financial,0,586374,0.59581405,High,Active
RetireRight,0,314283,0.59581405,High,Active
